Aquaplex Pool Deck,12/10/2022,10:12 AM,Open,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,10:17 AM,Open,47
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,10:17 AM,Open,23
ARC Floor 2,12/10/2022,10:17 AM,Open,19
South Court,12/10/2022,10:17 AM,Open,2
4 Court Gym,12/10/2022,10:17 AM,Open,6
North Court,12/10/2022,10:17 AM,Open,0
Recreation Pool,12/10/2022,11:00 AM,Open,3
Competition Pool,12/10/2022,11:00 AM,Open,2
ARC Express,12/10/2022,11:01 AM,Open,9
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/10/2022,11:00 AM,Open,3
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,10:17 AM,Open,47
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,10:17 AM,Open,23
ARC Floor 2,12/10/2022,10:17 AM,Open,19
South Court,12/10/2022,10:17 AM,Open,2
4 Court Gym,12/10/2022,10:17 AM,Open,6
North Court,12/10/2022,10:17 AM,Open,0
Recreation Pool,12/10/2022,11:00 AM,Open,3
Competition Pool,12/10/2022,11:00 AM,Open,2
ARC Express,12/10/2022,11:01 AM,Open,9
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/10/2022,11:00 AM,Open,3
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,10:17 AM,Open,47
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,10:17 AM,Open,23
ARC Floor 2,12/10/2022,10:17 AM,Open,19
South Court,12/10/2022,10:17 AM,Open,2
4 Court Gym,12/10/2022,10:17 AM,Open,6
North Court,12/10/2022,10:17 AM,Open,0
Recreation Pool,12/10/2022,11:00 AM,Open,3
Competition Pool,12/10/2022,11:00 AM,Open,2
ARC Express,12/10/2022,11:01 AM,Open,9
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/10/2022,11:00 AM,Open,3
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,10:17 AM,Open,47
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,10:17 AM,Open,23
ARC Floor 2,12/10/2022,10:17 AM,Open,19
South Court,12/10/2022,10:17 AM,Open,2
4 Court Gym,12/10/2022,10:17 AM,Open,6
North Court,12/10/2022,10:17 AM,Open,0
Recreation Pool,12/10/2022,11:00 AM,Open,3
