Competition Pool,08:58 PM,2,08:58 PM,2,08:58 PM,2,08:58 PM,2,08:58 PM,2,08:58 PM,2
Arc Express,08:31 AM,3,09:04 AM,8,09:32 AM,14,09:59 AM,13,10:31 AM,15,11:01 AM,20
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,08:58 PM,0,08:58 PM,0,08:58 PM,0,08:58 PM,0,08:58 PM,0,08:58 PM,0
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0
Arc Floor One,11:03 AM,71,12:05 PM,100,12/02/2022,12:05 PM,100,12:05 PM,100,12:05 PM,100,01:15 PM
Climbing,10:00 PM,0,10:00 PM,0,12/01/2022,10:00 PM,0,10:00 PM,0,10:00 PM,0,10:00 PM
Arc Olympic Lifting Zones,11:03 AM,32,12:05 PM,38,12/02/2022,12:05 PM,38,12:05 PM,38,12:05 PM,38,01:15 PM
Arc Floor Two,11:03 AM,56,12:05 PM,68,12/02/2022,12:05 PM,68,12:05 PM,68,12:05 PM,68,01:15 PM
South Court,11:03 AM,0,12:05 PM,6,12/02/2022,12:05 PM,6,12:05 PM,6,12:05 PM,6,01:15 PM
Four Court Gym,11:03 AM,3,12:05 PM,9,12/02/2022,12:05 PM,9,12:05 PM,9,12:05 PM,9,01:15 PM
North Court,11:03 AM,0,12:05 PM,0,12/02/2022,12:05 PM,0,12:05 PM,0,12:05 PM,0,01:15 PM
Recreation Pool,07:04 PM,0,07:04 PM,0,12/02/2022,12:18 PM,1,12:18 PM,1,12:18 PM,1,12:18 PM
Competition Pool,08:58 PM,2,08:58 PM,2,12/02/2022,12:18 PM,7,12:18 PM,7,12:18 PM,7,12:18 PM
Arc Express,11:31 AM,25,11:31 AM,25,12/02/2022,11:31 AM,25,12:31 PM,23,01:05 PM,21,01:05 PM
Spa,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,08:58 PM,0,08:58 PM,0,12/01/2022,08:58 PM,0,08:58 PM,0,08:58 PM,0,08:58 PM
Tennis Courts,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,112,12/02/2022,01:15 PM,112,02:07 PM,122,02:07 PM,122,02:07 PM,02:07 PM,122,12/02/2022
Climbing,0,12/01/2022,10:00 PM,0,10:00 PM,0,10:00 PM,0,10:00 PM,10:00 PM,0,12/02/2022
Arc Olympic Lifting Zones,38,12/02/2022,01:15 PM,38,02:07 PM,43,02:07 PM,43,02:07 PM,02:07 PM,43,12/02/2022
Arc Floor Two,72,12/02/2022,01:15 PM,72,02:07 PM,66,02:07 PM,66,02:07 PM,02:07 PM,66,12/02/2022
South Court,0,12/02/2022,01:15 PM,0,01:15 PM,0,01:15 PM,0,01:15 PM,01:15 PM,0,12/02/2022
Four Court Gym,9,12/02/2022,01:15 PM,9,02:07 PM,23,02:07 PM,23,02:07 PM,02:07 PM,23,12/02/2022
North Court,0,12/02/2022,01:15 PM,0,02:07 PM,2,02:07 PM,2,02:07 PM,02:07 PM,2,12/02/2022
Recreation Pool,1,12/02/2022,01:27 PM,4,01:27 PM,4,02:27 PM,9,02:27 PM,02:27 PM,9,12/02/2022
Competition Pool,7,12/02/2022,01:27 PM,36,01:27 PM,36,02:27 PM,30,02:27 PM,02:27 PM,30,12/02/2022
Arc Express,21,12/02/2022,01:05 PM,21,01:05 PM,21,01:05 PM,21,02:36 PM,03:03 PM,14,12/02/2022
Spa,0,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,01:03 PM,0,11/28/2022
Aquaplex Pool Deck,0,12/02/2022,01:27 PM,2,01:27 PM,2,01:27 PM,2,01:27 PM,01:27 PM,2,12/02/2022
Tennis Courts,0,11/30/2022,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,10:08 AM,0,11/30/2022
Arc Floor One,03:15 PM,155,03:15 PM,155,03:15 PM,155,03:15 PM,155,03:15 PM,155,04:58 PM,161
Climbing,03:15 PM,15,03:15 PM,15,03:15 PM,15,03:15 PM,15,03:15 PM,15,04:58 PM,17
Arc Olympic Lifting Zones,03:15 PM,72,03:15 PM,72,03:15 PM,72,03:15 PM,72,03:15 PM,72,04:58 PM,72
Arc Floor Two,03:15 PM,83,03:15 PM,83,03:15 PM,83,03:15 PM,83,03:15 PM,83,04:58 PM,86
South Court,03:15 PM,0,03:15 PM,0,03:15 PM,0,03:15 PM,0,03:15 PM,0,04:58 PM,1
Four Court Gym,03:15 PM,30,03:15 PM,30,03:15 PM,30,03:15 PM,30,03:15 PM,30,04:58 PM,14
North Court,03:15 PM,1,03:15 PM,1,03:15 PM,1,03:15 PM,1,03:15 PM,1,04:58 PM,0
Recreation Pool,02:27 PM,9,03:22 PM,5,03:22 PM,5,03:22 PM,5,03:22 PM,5,03:22 PM,5
Competition Pool,02:27 PM,30,03:22 PM,1,03:22 PM,1,03:22 PM,1,03:22 PM,1,03:22 PM,1
Arc Express,03:03 PM,14,03:03 PM,14,03:33 PM,20,04:01 PM,26,04:31 PM,16,04:31 PM,16
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,01:27 PM,2,03:23 PM,2,03:23 PM,2,03:23 PM,2,03:23 PM,2,03:23 PM,2
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0
Arc Floor One,04:58 PM,161,06:11 PM,Open,101,06:11 PM,101,06:11 PM,Open,101,07:43 PM,Open
Climbing,04:58 PM,17,06:11 PM,Open,5,06:11 PM,5,06:11 PM,Open,5,07:43 PM,Closed
Arc Olympic Lifting Zones,04:58 PM,72,06:11 PM,Open,35,06:11 PM,35,06:11 PM,Open,35,07:43 PM,Open
Arc Floor Two,04:58 PM,86,06:11 PM,Open,72,06:11 PM,72,06:11 PM,Open,72,07:47 PM,Open
South Court,04:58 PM,1,06:11 PM,Closed,1,06:11 PM,1,06:11 PM,Closed,1,06:11 PM,Closed
Four Court Gym,04:58 PM,14,06:11 PM,Open,28,06:11 PM,28,06:11 PM,Open,28,07:43 PM,Open
North Court,04:58 PM,0,04:58 PM,Open,0,04:58 PM,0,04:58 PM,Open,0,07:43 PM,Open
Recreation Pool,03:22 PM,5,03:22 PM,Open,5,03:22 PM,5,06:48 PM,Closed,0,06:48 PM,Closed
Competition Pool,03:22 PM,1,03:22 PM,Open,1,03:22 PM,1,06:48 PM,Closed,0,06:48 PM,Closed
Arc Express,05:35 PM,15,05:35 PM,Open,15,06:31 PM,12,06:31 PM,Open,12,06:31 PM,Open
Spa,01:03 PM,0,01:03 PM,Closed,0,01:03 PM,0,01:03 PM,Closed,0,01:03 PM,Closed
Aquaplex Pool Deck,03:23 PM,2,03:23 PM,Open,2,03:23 PM,2,06:49 PM,Closed,0,06:49 PM,Closed
Tennis Courts,10:08 AM,0,10:08 AM,Closed,0,10:08 AM,0,10:08 AM,Closed,0,10:08 AM,Closed
Arc Floor One,61,07:43 PM,61,07:43 PM,Open,61,12/03/2022,08:19 AM,Open,21,09:08 AM,Open
Climbing,0,07:43 PM,0,07:43 PM,Closed,0,12/02/2022,07:43 PM,Closed,0,07:43 PM,Closed
Arc Olympic Lifting Zones,36,07:43 PM,36,07:43 PM,Open,36,12/03/2022,08:19 AM,Open,7,09:09 AM,Open
Arc Floor Two,41,07:47 PM,41,07:47 PM,Open,41,12/03/2022,08:19 AM,Open,17,09:09 AM,Open
South Court,1,06:11 PM,1,06:11 PM,Closed,1,12/03/2022,08:19 AM,Open,0,08:19 AM,Open
Four Court Gym,31,07:43 PM,31,07:43 PM,Open,31,12/03/2022,08:19 AM,Open,0,09:09 AM,Open
North Court,3,07:43 PM,3,07:43 PM,Open,3,12/03/2022,08:19 AM,Open,0,09:09 AM,Closed
Recreation Pool,0,06:48 PM,0,06:48 PM,Closed,0,12/02/2022,06:48 PM,Closed,0,06:48 PM,Closed
Competition Pool,0,06:48 PM,0,06:48 PM,Closed,0,12/02/2022,06:48 PM,Closed,0,06:48 PM,Closed
Arc Express,12,08:04 PM,6,09:42 PM,Closed,0,12/02/2022,09:42 PM,Closed,0,09:42 PM,Closed
Spa,0,01:03 PM,0,01:03 PM,Closed,0,11/28/2022,01:03 PM,Closed,0,01:03 PM,Closed
Aquaplex Pool Deck,0,06:49 PM,0,06:49 PM,Closed,0,12/02/2022,06:49 PM,Closed,0,06:49 PM,Closed
Tennis Courts,0,10:08 AM,0,10:08 AM,Closed,0,11/30/2022,10:08 AM,Closed,0,10:08 AM,Closed
Arc Floor One,40,12/03/2022,10:08 AM,Open,47,12/03/2022,10:08 AM,Open,47,11:02 AM,60,11:02 AM
Climbing,0,12/02/2022,07:43 PM,Closed,0,12/02/2022,07:43 PM,Closed,0,07:43 PM,0,07:43 PM
Arc Olympic Lifting Zones,23,12/03/2022,10:08 AM,Open,20,12/03/2022,10:08 AM,Open,20,11:02 AM,30,11:02 AM
Arc Floor Two,30,12/03/2022,10:08 AM,Open,42,12/03/2022,10:08 AM,Open,42,11:02 AM,57,11:02 AM
South Court,0,12/03/2022,10:08 AM,Open,0,12/03/2022,10:08 AM,Open,0,11:02 AM,7,11:02 AM
Four Court Gym,1,12/03/2022,10:08 AM,Open,14,12/03/2022,10:08 AM,Open,14,11:02 AM,13,11:02 AM
North Court,0,12/03/2022,09:09 AM,Closed,0,12/03/2022,09:09 AM,Closed,0,09:09 AM,0,09:09 AM
Recreation Pool,0,12/03/2022,10:06 AM,Open,3,12/03/2022,10:06 AM,Open,3,10:06 AM,3,11:22 AM
Competition Pool,0,12/03/2022,10:06 AM,Open,2,12/03/2022,10:06 AM,Open,2,10:06 AM,2,11:22 AM
Arc Express,0,12/02/2022,09:42 PM,Closed,0,12/03/2022,10:30 AM,Open,14,11:00 AM,14,11:00 AM
Spa,0,12/03/2022,10:06 AM,Open,0,12/03/2022,10:06 AM,Open,0,10:06 AM,0,10:06 AM
Aquaplex Pool Deck,0,12/03/2022,10:06 AM,Open,0,12/03/2022,10:06 AM,Open,0,10:06 AM,0,11:22 AM
Tennis Courts,0,11/30/2022,10:08 AM,Closed,0,11/30/2022,10:08 AM,Closed,0,10:08 AM,0,10:08 AM
Arc Floor One,60,11:02 AM,60,11:02 AM,60,12:11 PM,12:11 PM,60,01:17 PM,111,01:17 PM,111
Climbing,0,07:43 PM,0,07:43 PM,0,07:43 PM,07:43 PM,0,07:43 PM,0,07:43 PM,0
Arc Olympic Lifting Zones,30,11:02 AM,30,11:02 AM,30,12:11 PM,12:11 PM,30,01:17 PM,25,01:17 PM,25
Arc Floor Two,57,11:02 AM,57,11:02 AM,57,12:11 PM,12:11 PM,57,01:17 PM,57,01:17 PM,57
South Court,7,11:02 AM,7,11:02 AM,7,12:11 PM,12:11 PM,7,01:17 PM,11,01:17 PM,11
Four Court Gym,13,11:02 AM,13,11:02 AM,13,12:11 PM,12:11 PM,13,01:17 PM,6,01:17 PM,6
North Court,0,09:09 AM,0,09:09 AM,0,09:09 AM,09:09 AM,0,09:09 AM,0,09:09 AM,0
Recreation Pool,2,11:22 AM,2,12:05 PM,1,12:05 PM,12:05 PM,1,12:05 PM,1,12:05 PM,1
Competition Pool,12,11:22 AM,12,12:05 PM,9,12:05 PM,12:05 PM,9,12:05 PM,9,12:05 PM,9
Arc Express,14,11:30 AM,21,12:00 PM,15,12:00 PM,12:31 PM,21,12:31 PM,21,01:38 PM,14
Spa,0,10:06 AM,0,10:06 AM,0,10:06 AM,10:06 AM,0,10:06 AM,0,10:06 AM,0
Aquaplex Pool Deck,5,11:22 AM,5,11:22 AM,5,11:22 AM,11:22 AM,5,11:22 AM,5,11:22 AM,5
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,10:08 AM,0,10:08 AM,0,10:08 AM,0
Arc Floor One,01:17 PM,111,02:07 PM,86,02:07 PM,86,03:09 PM,75,03:09 PM,Open,75,03:09 PM
Climbing,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,Closed,0,07:43 PM
Arc Olympic Lifting Zones,01:17 PM,25,02:07 PM,58,02:07 PM,58,03:09 PM,40,03:09 PM,Open,40,03:09 PM
Arc Floor Two,01:17 PM,57,02:07 PM,74,02:07 PM,74,03:09 PM,64,03:09 PM,Open,64,03:09 PM
South Court,01:17 PM,11,02:07 PM,9,02:07 PM,9,03:09 PM,0,03:09 PM,Open,0,03:09 PM
Four Court Gym,01:17 PM,6,02:07 PM,23,02:07 PM,23,02:07 PM,23,02:07 PM,Open,23,02:07 PM
North Court,09:09 AM,0,09:09 AM,0,09:09 AM,0,09:09 AM,0,09:09 AM,Closed,0,09:09 AM
Recreation Pool,12:05 PM,1,12:05 PM,1,12:05 PM,1,12:05 PM,1,03:19 PM,Open,4,03:19 PM
Competition Pool,12:05 PM,9,12:05 PM,9,12:05 PM,9,12:05 PM,9,03:19 PM,Open,2,03:19 PM
Arc Express,02:00 PM,20,02:00 PM,20,02:39 PM,13,03:12 PM,4,03:12 PM,Open,4,04:12 PM
Spa,10:06 AM,0,10:06 AM,0,10:06 AM,0,10:06 AM,0,03:19 PM,Closed,0,03:19 PM
Aquaplex Pool Deck,11:22 AM,5,11:22 AM,5,11:22 AM,5,11:22 AM,5,03:20 PM,Open,2,03:20 PM
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,Closed,0,10:08 AM
Arc Floor One,75,03:09 PM,Open,75,03:09 PM,75,03:09 PM,75,03:09 PM,75,08:51 PM,24
Climbing,0,07:43 PM,Closed,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0
Arc Olympic Lifting Zones,40,03:09 PM,Open,40,03:09 PM,40,03:09 PM,40,03:09 PM,40,08:51 PM,20
Arc Floor Two,64,03:09 PM,Open,64,03:09 PM,64,03:09 PM,64,03:09 PM,64,08:51 PM,27
South Court,0,03:09 PM,Open,0,03:09 PM,0,03:09 PM,0,03:09 PM,0,08:51 PM,11
Four Court Gym,23,02:07 PM,Open,23,02:07 PM,23,02:07 PM,23,02:07 PM,23,08:51 PM,17
North Court,0,09:09 AM,Closed,0,09:09 AM,0,09:09 AM,0,09:09 AM,0,08:51 PM,0
Recreation Pool,4,05:01 PM,Closed,0,05:01 PM,0,05:01 PM,0,05:01 PM,0,05:01 PM,0
Competition Pool,2,05:01 PM,Closed,0,05:01 PM,0,05:01 PM,0,05:01 PM,0,05:01 PM,0
Arc Express,13,05:06 PM,Open,11,06:06 PM,12,07:03 PM,15,07:59 PM,0,07:59 PM,0
Spa,0,03:19 PM,Closed,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,2,05:01 PM,Closed,0,05:01 PM,0,05:01 PM,0,05:01 PM,0,05:01 PM,0
Tennis Courts,0,10:08 AM,Closed,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0
Arc Floor One,09:25 PM,36,10:50 PM,24,11:06 PM,24,12/03/2022,11:06 PM,12/03/2022,11:06 PM,24,11:06 PM
Climbing,07:43 PM,0,07:43 PM,0,07:43 PM,0,12/02/2022,07:43 PM,12/02/2022,07:43 PM,0,07:43 PM
Arc Olympic Lifting Zones,09:25 PM,17,10:50 PM,21,11:06 PM,20,12/03/2022,11:06 PM,12/03/2022,11:06 PM,20,11:06 PM
Arc Floor Two,09:25 PM,21,10:50 PM,16,11:06 PM,23,12/03/2022,11:06 PM,12/03/2022,11:06 PM,23,11:06 PM
South Court,09:25 PM,10,10:50 PM,12,11:06 PM,6,12/03/2022,11:06 PM,12/03/2022,11:06 PM,6,11:06 PM
Four Court Gym,09:25 PM,13,10:50 PM,14,11:06 PM,8,12/03/2022,11:06 PM,12/03/2022,11:06 PM,8,11:06 PM
North Court,09:25 PM,0,10:50 PM,0,11:06 PM,0,12/03/2022,11:06 PM,12/03/2022,11:06 PM,0,11:06 PM
Recreation Pool,05:01 PM,0,05:01 PM,0,05:01 PM,0,12/03/2022,05:01 PM,12/04/2022,10:08 AM,4,10:08 AM
Competition Pool,05:01 PM,0,05:01 PM,0,05:01 PM,0,12/03/2022,05:01 PM,12/04/2022,10:08 AM,1,10:08 AM
Arc Express,07:59 PM,0,07:59 PM,0,07:59 PM,0,12/04/2022,09:55 AM,12/04/2022,09:55 AM,0,10:57 AM
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,12/03/2022,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,05:01 PM,0,05:01 PM,0,05:01 PM,0,12/03/2022,05:01 PM,12/04/2022,10:08 AM,0,10:08 AM
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM,11/30/2022,10:08 AM,0,10:08 AM
Arc Floor One,24,12/04/2022,10:59 AM,35,10:59 AM,35,10:59 AM,35,12/04/2022,10:59 AM,35,10:59 AM
Climbing,0,12/02/2022,07:43 PM,0,07:43 PM,0,07:43 PM,0,12/02/2022,07:43 PM,0,07:43 PM
Arc Olympic Lifting Zones,20,12/04/2022,10:59 AM,19,10:59 AM,19,10:59 AM,19,12/04/2022,10:59 AM,19,10:59 AM
Arc Floor Two,23,12/04/2022,10:59 AM,47,10:59 AM,47,10:59 AM,47,12/04/2022,10:59 AM,47,10:59 AM
South Court,6,12/03/2022,11:06 PM,6,11:06 PM,6,11:06 PM,6,12/03/2022,11:06 PM,6,11:06 PM
Four Court Gym,8,12/04/2022,10:59 AM,7,10:59 AM,7,10:59 AM,7,12/04/2022,10:59 AM,7,10:59 AM
North Court,0,12/03/2022,11:06 PM,0,11:06 PM,0,11:06 PM,0,12/03/2022,11:06 PM,0,11:06 PM
Recreation Pool,4,12/04/2022,10:08 AM,4,11:22 AM,3,12:05 PM,5,12/04/2022,01:04 PM,2,01:04 PM
Competition Pool,1,12/04/2022,10:08 AM,1,10:08 AM,1,12:04 PM,2,12/04/2022,12:04 PM,2,12:04 PM
Arc Express,4,12/04/2022,10:57 AM,4,10:57 AM,4,10:57 AM,4,12/04/2022,10:57 AM,4,01:32 PM
Spa,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,0,12/04/2022,10:08 AM,0,10:08 AM,0,12:05 PM,10,12/04/2022,01:04 PM,17,01:04 PM
Tennis Courts,0,11/30/2022,10:08 AM,0,10:08 AM,0,10:08 AM,0,12/04/2022,01:04 PM,4,01:04 PM
Arc Floor One,35,10:59 AM,35,10:59 AM,35,10:59 AM,35,10:59 AM,35,04:10 PM,75,04:10 PM
Climbing,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM
Arc Olympic Lifting Zones,19,10:59 AM,19,10:59 AM,19,10:59 AM,19,10:59 AM,19,04:10 PM,33,04:10 PM
Arc Floor Two,47,10:59 AM,47,10:59 AM,47,10:59 AM,47,10:59 AM,47,04:10 PM,59,04:10 PM
South Court,6,11:06 PM,6,11:06 PM,6,11:06 PM,6,11:06 PM,6,11:06 PM,6,11:06 PM
Four Court Gym,7,10:59 AM,7,10:59 AM,7,10:59 AM,7,10:59 AM,7,04:10 PM,16,04:10 PM
North Court,0,11:06 PM,0,11:06 PM,0,11:06 PM,0,11:06 PM,0,11:06 PM,0,11:06 PM
Recreation Pool,2,01:04 PM,2,01:04 PM,2,01:04 PM,2,01:04 PM,2,01:04 PM,2,01:04 PM
Competition Pool,2,12:04 PM,2,12:04 PM,2,12:04 PM,2,03:42 PM,5,03:42 PM,5,03:42 PM
Arc Express,8,02:18 PM,11,03:04 PM,16,03:38 PM,18,03:38 PM,18,04:02 PM,9,04:34 PM
Spa,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,17,01:04 PM,17,01:04 PM,17,01:04 PM,17,03:42 PM,2,03:42 PM,2,03:42 PM
Tennis Courts,4,01:04 PM,4,01:04 PM,4,01:04 PM,4,03:42 PM,8,03:42 PM,8,03:42 PM
Arc Floor One,75,04:56 PM,80,04:56 PM,80,04:56 PM,80,05:52 PM,82,05:52 PM,05:52 PM,82
Climbing,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,07:43 PM,0
Arc Olympic Lifting Zones,33,04:56 PM,39,04:56 PM,39,04:56 PM,39,05:52 PM,42,05:52 PM,05:52 PM,42
Arc Floor Two,59,04:56 PM,61,04:56 PM,61,04:56 PM,61,05:52 PM,49,05:52 PM,05:52 PM,49
South Court,6,11:06 PM,6,11:06 PM,6,11:06 PM,6,11:06 PM,6,11:06 PM,11:06 PM,6
Four Court Gym,16,04:56 PM,19,04:56 PM,19,04:56 PM,19,05:52 PM,33,05:52 PM,05:52 PM,33
North Court,0,11:06 PM,0,11:06 PM,0,11:06 PM,0,11:06 PM,0,11:06 PM,11:06 PM,0
Recreation Pool,2,01:04 PM,2,01:04 PM,2,01:04 PM,2,01:04 PM,2,01:04 PM,01:04 PM,2
Competition Pool,5,03:42 PM,5,03:42 PM,5,03:42 PM,5,03:42 PM,5,03:42 PM,03:42 PM,5
Arc Express,13,04:34 PM,13,05:02 PM,17,05:32 PM,16,05:32 PM,16,06:07 PM,06:35 PM,11
Spa,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,03:19 PM,0
Aquaplex Pool Deck,2,03:42 PM,2,03:42 PM,2,03:42 PM,2,03:42 PM,2,03:42 PM,03:42 PM,2
Tennis Courts,8,03:42 PM,8,03:42 PM,8,03:42 PM,8,03:42 PM,8,03:42 PM,03:42 PM,8
Arc Floor One,05:52 PM,82,12/04/2022,07:06 PM,75,07:06 PM,75,07:06 PM,75,12/04/2022,09:32 PM,50
Climbing,07:43 PM,0,12/02/2022,07:43 PM,0,07:43 PM,0,07:43 PM,0,12/02/2022,07:43 PM,0
Arc Olympic Lifting Zones,05:52 PM,42,12/04/2022,07:06 PM,24,07:06 PM,24,07:06 PM,24,12/04/2022,09:32 PM,13
Arc Floor Two,05:52 PM,49,12/04/2022,07:06 PM,54,07:06 PM,54,07:06 PM,54,12/04/2022,09:32 PM,40
South Court,11:06 PM,6,12/04/2022,07:06 PM,8,07:06 PM,8,07:06 PM,8,12/04/2022,09:32 PM,2
Four Court Gym,05:52 PM,33,12/04/2022,07:06 PM,6,07:06 PM,6,07:06 PM,6,12/04/2022,09:32 PM,18
North Court,11:06 PM,0,12/03/2022,11:06 PM,0,11:06 PM,0,11:06 PM,0,12/04/2022,09:32 PM,0
Recreation Pool,01:04 PM,2,12/04/2022,01:04 PM,2,01:04 PM,2,01:04 PM,2,12/04/2022,01:04 PM,2
Competition Pool,03:42 PM,5,12/04/2022,03:42 PM,5,03:42 PM,5,03:42 PM,5,12/04/2022,03:42 PM,5
Arc Express,07:01 PM,13,12/04/2022,07:01 PM,13,07:36 PM,6,07:56 PM,0,12/04/2022,07:56 PM,0
Spa,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0
Aquaplex Pool Deck,03:42 PM,2,12/04/2022,03:42 PM,2,03:42 PM,2,03:42 PM,2,12/04/2022,03:42 PM,2
Tennis Courts,03:42 PM,8,12/04/2022,03:42 PM,8,03:42 PM,8,03:42 PM,8,12/04/2022,03:42 PM,8
Arc Floor One,10:15 PM,46,12/05/2022,06:06 AM,18,07:15 AM,40,08:07 AM,48,12/05/2022,08:07 AM,48
Climbing,07:43 PM,0,12/02/2022,07:43 PM,0,07:43 PM,0,07:43 PM,0,12/02/2022,07:43 PM,0
Arc Olympic Lifting Zones,10:15 PM,11,12/05/2022,06:06 AM,11,07:15 AM,23,08:07 AM,23,12/05/2022,08:07 AM,23
Arc Floor Two,10:15 PM,33,12/05/2022,06:06 AM,14,07:15 AM,36,08:07 AM,36,12/05/2022,08:07 AM,36
South Court,09:32 PM,2,12/05/2022,06:06 AM,0,06:06 AM,0,08:07 AM,0,12/05/2022,08:07 AM,0
Four Court Gym,09:32 PM,18,12/05/2022,06:06 AM,0,07:15 AM,0,08:07 AM,0,12/05/2022,08:07 AM,0
North Court,09:32 PM,0,12/05/2022,06:06 AM,0,07:15 AM,0,08:07 AM,0,12/05/2022,08:07 AM,0
Recreation Pool,01:04 PM,2,12/04/2022,01:04 PM,2,01:04 PM,2,01:04 PM,2,12/04/2022,01:04 PM,2
Competition Pool,03:42 PM,5,12/04/2022,03:42 PM,5,03:42 PM,5,03:42 PM,5,12/04/2022,03:42 PM,5
Arc Express,07:56 PM,0,12/04/2022,07:56 PM,0,07:56 PM,0,07:56 PM,0,12/05/2022,08:49 AM,4
Spa,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0
Aquaplex Pool Deck,03:42 PM,2,12/04/2022,03:42 PM,2,03:42 PM,2,03:42 PM,2,12/04/2022,03:42 PM,2
Tennis Courts,03:42 PM,8,12/04/2022,03:42 PM,8,03:42 PM,8,03:42 PM,8,12/04/2022,03:42 PM,8
Arc Floor One,08:07 AM,09:25 AM,59,09:25 AM,59,12/05/2022,09:25 AM,59,10:16 AM,88,10:16 AM,88
Climbing,07:43 PM,07:43 PM,0,07:43 PM,0,12/02/2022,07:43 PM,0,07:43 PM,0,07:43 PM,0
Arc Olympic Lifting Zones,08:07 AM,09:25 AM,38,09:25 AM,38,12/05/2022,09:25 AM,38,10:16 AM,38,10:16 AM,38
Arc Floor Two,08:07 AM,09:25 AM,34,09:25 AM,34,12/05/2022,09:25 AM,34,10:16 AM,45,10:16 AM,45
South Court,08:07 AM,09:25 AM,0,09:25 AM,0,12/05/2022,09:25 AM,0,10:16 AM,0,10:16 AM,0
Four Court Gym,08:07 AM,09:25 AM,2,09:25 AM,2,12/05/2022,09:25 AM,2,10:16 AM,5,10:16 AM,5
North Court,08:07 AM,09:25 AM,0,09:25 AM,0,12/05/2022,09:25 AM,0,10:16 AM,0,10:16 AM,0
Recreation Pool,01:04 PM,01:04 PM,2,01:04 PM,2,12/05/2022,10:03 AM,1,10:03 AM,1,10:03 AM,1
Competition Pool,03:42 PM,03:42 PM,5,03:42 PM,5,12/05/2022,10:03 AM,19,10:03 AM,19,10:03 AM,19
Arc Express,09:19 AM,09:19 AM,4,10:00 AM,8,12/05/2022,10:00 AM,8,10:00 AM,8,10:30 AM,14
Spa,03:19 PM,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,03:42 PM,03:42 PM,2,03:42 PM,2,12/05/2022,10:03 AM,3,10:03 AM,3,10:03 AM,3
Tennis Courts,03:42 PM,03:42 PM,8,03:42 PM,8,12/05/2022,10:03 AM,0,10:03 AM,0,10:03 AM,0
Arc Floor One,10:16 AM,88,11:09 AM,106,11:09 AM,106,11:09 AM,106,11:09 AM,106,01:12 PM,99
Climbing,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0,07:43 PM,0
Arc Olympic Lifting Zones,10:16 AM,38,11:09 AM,45,11:09 AM,45,11:09 AM,45,11:09 AM,45,01:12 PM,50
Arc Floor Two,10:16 AM,45,11:09 AM,54,11:09 AM,54,11:09 AM,54,11:09 AM,54,01:12 PM,57
South Court,10:16 AM,0,11:09 AM,0,11:09 AM,0,11:09 AM,0,11:09 AM,0,01:12 PM,0
