Arc Floor Two,11/28/2022,12:18 PM,40,12:18 PM,40,12:18 PM,40,12:18 PM,40,12:18 PM,40,12:18 PM
South Court,11/28/2022,12:18 PM,0,12:18 PM,0,12:18 PM,0,12:18 PM,0,12:18 PM,0,12:18 PM
Four Court Gym,11/28/2022,12:18 PM,5,12:18 PM,5,12:18 PM,5,12:18 PM,5,12:18 PM,5,12:18 PM
North Court,11/28/2022,12:18 PM,0,12:18 PM,0,12:18 PM,0,12:18 PM,0,12:18 PM,0,12:18 PM
Recreation Pool,11/28/2022,12:22 PM,5,12:22 PM,5,01:03 PM,2,01:03 PM,2,01:03 PM,2,02:14 PM
Competition Pool,11/28/2022,12:22 PM,2,12:22 PM,2,01:03 PM,11,01:03 PM,11,01:03 PM,11,02:14 PM
Arc Express,11/28/2022,12:02 PM,19,12:36 PM,22,01:01 PM,16,01:38 PM,28,02:03 PM,17,02:03 PM
Spa,11/26/2022,12:43 PM,1,12:43 PM,1,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,11/28/2022,12:22 PM,0,12:22 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,02:14 PM
Tennis Courts,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM
Arc Floor One,83,12:18 PM,83,11/28/2022,03:17 PM,Open,106,03:17 PM,106,04:02 PM,124,04:02 PM
Climbing,0,09:13 PM,0,11/28/2022,03:17 PM,Open,12,03:17 PM,12,04:02 PM,22,04:02 PM
Arc Olympic Lifting Zones,28,12:18 PM,28,11/28/2022,03:17 PM,Open,49,03:17 PM,49,04:02 PM,59,04:02 PM
Arc Floor Two,40,12:18 PM,40,11/28/2022,03:17 PM,Open,80,03:17 PM,80,04:02 PM,103,04:02 PM
South Court,0,12:18 PM,0,11/28/2022,03:17 PM,Open,0,03:17 PM,0,03:17 PM,0,03:17 PM
Four Court Gym,5,12:18 PM,5,11/28/2022,03:17 PM,Open,9,03:17 PM,9,04:02 PM,13,04:02 PM
